CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
012041,326,0,326,0
012042,4165,0,4165,11
012043,362,0,362,0
012045,8,0,8,0
012047,1435,0,1435,6
012048,4181,0,4181,0
012050,2935,27,2962,1
012052,163,0,163,0
012054,709,0,709,0
012055,686,0,686,0
012056,374,0,374,0
012058,1999,0,1999,0
012059,1048,22,1070,0
012062,22,0,22,0
012067,5130,4,5134,5
012068,1952,0,1952,0
012071,260,0,260,0
012073,1386,0,1386,1
012074,1,0,1,0
012075,2165,137,2302,8
012077,1564,0,1564,0
012080,825,0,825,1
012081,477,0,477,0
012082,505,0,505,0
012083,143,0,143,0
012084,2045,0,2045,0
012087,3722,0,3722,0
012090,3438,0,3438,2
012092,4479,0,4479,0
012096,3423,0,3423,0
012097,1240,0,1240,7
012098,4359,0,4359,7
012100,151,0,151,0
012101,1210,0,1210,2
012102,13,0,13,0
012103,1864,0,1864,0
012105,1191,0,1191,0
012106,1587,59,1646,24
012107,2038,0,2038,0
012108,5446,91,5537,0
012109,2283,0,2283,1
012110,439,0,439,0
012115,390,0,390,0
012118,10919,2,10921,0
012119,5951,0,5951,2
012120,3908,0,3908,0
012121,1146,0,1146,0
012122,1611,0,1611,2
012123,6903,0,6903,0
012125,2467,0,2467,0
012127,4371,52,4423,0
012130,1820,0,1820,8
012133,13778,0,13778,17
012134,2218,0,2218,0
012136,1486,0,1486,0
012137,2032,0,2032,0
012138,3247,0,3247,0
012139,5,0,5,0
012141,889,0,889,0
012142,3006,0,3006,0
013003,1882,0,1882,0
013004,1268,0,1268,0
013005,631,0,631,0
013007,2049,0,2049,0
013009,9,0,9,0
013010,1692,1,1693,3
013011,728,0,728,0
013012,1372,0,1372,0
013015,296,0,296,0
013021,289,0,289,0
013025,238,0,238,0
013026,398,0,398,0
013028,1909,0,1909,0
013029,539,0,539,0
013032,860,0,860,0
013034,811,0,811,5
013035,3963,0,3963,14
013036,1727,0,1727,0
013040,427,0,427,0
013041,68,0,68,1
013043,1333,0,1333,0
013045,972,72,1044,0
013046,1130,1,1131,0
013047,1695,0,1695,2
013055,728,0,728,10
013062,348,0,348,1
013064,2919,2,2921,0
013065,2045,27,2072,0
013071,569,0,569,0
013074,326,0,326,0
013075,13619,0,13619,12
013077,616,0,616,0
013083,786,0,786,0
013084,806,0,806,0
013087,593,2,595,0
013089,1566,59,1625,1
013092,85,0,85,0
013095,4626,0,4626,0
013100,25,0,25,0
013101,923,0,923,0
013102,2531,0,2531,0
013106,749,0,749,0
013107,886,0,886,58
013110,729,0,729,0
013111,1144,0,1144,10
013113,420,0,420,2
013114,1381,0,1381,2
013120,510,0,510,0
013126,1076,0,1076,0
013131,1459,0,1459,36
013133,1772,0,1772,0
013134,21,0,21,0
013136,1580,1,1581,0
013137,7,0,7,3
013138,2346,0,2346,1
013144,853,0,853,0
013145,2616,0,2616,0
013152,751,0,751,0
013153,410,0,410,0
013154,1305,0,1305,0
013155,507,101,608,0
013160,493,0,493,19
013165,2885,0,2885,0
013169,598,0,598,0
013178,836,24,860,0
013183,709,0,709,0
013184,543,0,543,2
013186,458,0,458,0
013187,530,0,530,0
013188,885,0,885,0
013189,1918,0,1918,0
013192,461,0,461,0
013193,399,0,399,0
013201,126,0,126,0
013204,1208,0,1208,0
013206,1699,0,1699,0
013207,471,0,471,0
013216,1270,0,1270,0
013218,373,0,373,0
013222,1616,0,1616,0
013223,422,0,422,0
013226,165,0,165,15
013227,3959,0,3959,13
013232,1086,0,1086,0
013233,185,0,185,0
013234,2346,0,2346,2
013238,79,0,79,0
013239,1437,0,1437,9
013245,1499,0,1499,0
013248,1921,0,1921,1
013249,3160,3,3163,8
013250,4,0,4,2
013251,2155,0,2155,0
013252,923,0,923,3
013254,3065,1,3066,1
013255,1496,0,1496,0
013256,2056,0,2056,0
014001,221,0,221,0
014002,1498,0,1498,0
014003,309,0,309,0
014004,1391,0,1391,0
014006,222,0,222,0
014007,1806,0,1806,0
014009,23,0,23,0
014013,762,0,762,0
014014,614,0,614,0
014015,992,0,992,0
014016,178,0,178,0
014017,432,0,432,6
014019,1151,0,1151,0
014020,16,0,16,0
014021,279,0,279,1
014022,1257,1,1258,2
014023,612,0,612,0
014024,2508,0,2508,0
014025,559,0,559,0
014027,1343,0,1343,0
014028,292,0,292,0
014029,361,0,361,0
014030,295,0,295,0
014031,677,0,677,0
014032,3,0,3,0
014033,4,0,4,0
014036,680,0,680,0
014037,4615,0,4615,0
014038,314,0,314,0
014039,359,10,369,0
014040,823,0,823,0
014043,1179,35,1214,0
014045,5491,2,5493,1
014048,1231,0,1231,0
014049,885,0,885,0
014056,288,0,288,0
014057,1459,0,1459,0
014060,1911,0,1911,0
014061,4585,0,4585,0
014062,258,0,258,0
014063,1752,0,1752,0
014064,421,0,421,0
014065,10,0,10,0
014066,2983,0,2983,0
014067,510,0,510,0
014069,1154,0,1154,2
014073,1323,0,1323,0
014074,862,0,862,0
014077,637,0,637,0
015002,6979,1,6980,7
015010,3612,3,3615,18
015011,1390,13,1403,0
015012,5,0,5,0
015014,572,16,588,0
015015,5038,0,5038,2
015016,965,1,966,0
015024,1592,0,1592,0
015027,26,0,26,0
015032,3000,0,3000,1
015035,565,0,565,0
015040,1269,0,1269,10
015042,2,0,2,0
015046,3096,1,3097,0
015050,796,1,797,0
015058,99,0,99,24
015059,5291,5,5296,0
015060,2108,51,2159,0
015062,4285,0,4285,1
015070,5812,0,5812,15
015071,1564,0,1564,3
015076,4,0,4,0
015077,13638,0,13638,1
015078,1431,2,1433,1
015081,7638,0,7638,0
015082,468,0,468,4
015085,7100,0,7100,0
015086,3073,0,3073,0
015087,5852,0,5852,0
015096,4373,0,4373,0
015098,2355,0,2355,0
015101,789,4,793,0
015103,2509,1,2510,0
015105,5949,0,5949,0
015106,1703,0,1703,0
015108,3970,0,3970,1
015114,2964,0,2964,27
015115,3461,0,3461,0
015118,14490,0,14490,0
015122,774,0,774,0
015125,1821,0,1821,1
015130,7,0,7,0
015131,3374,0,3374,0
015136,716,28,744,4
015139,2322,0,2322,3
015140,4717,7,4724,0
015142,3962,0,3962,10
015144,1342,0,1342,0
015146,66354,0,66354,8
015151,4462,0,4462,0
015158,5,0,5,0
015164,1921,83,2004,0
015166,65,0,65,0
015167,1364,0,1364,0
015169,3033,0,3033,0
015170,2018,0,2018,0
015171,2417,0,2417,2
015172,1937,0,1937,1
015175,2908,0,2908,10
015177,1549,0,1549,1
015178,2196,0,2196,0
015179,3,0,3,0
015181,3,0,3,0
015182,7162,0,7162,1
015189,5179,0,5179,1
015192,2870,0,2870,0
015194,1734,1,1735,1
015195,9966,0,9966,10
015200,2188,0,2188,1
015201,2195,0,2195,0
015202,883,2,885,0
015205,3742,0,3742,0
015209,12490,6,12496,1
015211,3494,0,3494,0
015219,50,0,50,1
015220,2423,0,2423,2
015221,3174,0,3174,0
015230,1688,2,1690,0
015237,1445,2,1447,31
015242,3092,0,3092,0
015247,1892,0,1892,0
015250,893,0,893,0
015251,1648,0,1648,0
016001,1879,5,1884,0
016002,929,0,929,0
016003,2473,0,2473,0
016004,4868,0,4868,0
016006,2957,7,2964,0
016007,1800,0,1800,0
016008,4303,0,4303,1
016009,643,0,643,0
016013,1608,0,1608,0
016014,447,0,447,0
016015,620,0,620,0
016016,1905,0,1905,0
016017,247,1,248,0
016018,1146,0,1146,0
016020,1392,0,1392,0
016024,21799,0,21799,1
016031,1611,0,1611,2
016033,869,0,869,0
016034,2024,0,2024,0
