CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
017136,3996,10,4006,8
017138,2584,0,2584,0
017139,544,0,544,0
017140,502,0,502,0
017142,8,0,8,0
017143,286,0,286,0
017144,988,0,988,0
017145,990,37,1027,0
017146,2434,0,2434,0
017147,1879,0,1879,0
017148,4380,0,4380,0
017150,2,0,2,0
017152,1676,0,1676,0
017153,826,0,826,0
017156,3858,0,3858,4
017157,673,0,673,0
017158,252,0,252,1
017161,5079,0,5079,0
017162,1328,0,1328,0
017163,3130,0,3130,0
017164,1576,0,1576,0
017166,10213,12,10225,19
017167,2896,0,2896,0
017168,1683,0,1683,0
017169,3080,0,3080,0
017174,4526,0,4526,2
017175,1,0,1,0
017177,1007,0,1007,0
017178,2196,0,2196,0
017180,1280,0,1280,3
017181,403,0,403,0
017182,948,0,948,0
017183,21,0,21,0
017186,3245,0,3245,1
017188,5241,1,5242,0
017190,3227,0,3227,0
017191,651,0,651,0
017193,960,0,960,0
017196,1,0,1,0
017197,1694,0,1694,0
017200,658,0,658,0
017201,2378,0,2378,0
017202,1259,0,1259,0
017203,6,0,6,0
017204,3137,0,3137,0
018003,551,0,551,0
018005,1493,0,1493,2
018011,673,0,673,2
018016,6,0,6,5
018017,403,0,403,1
018019,620,3,623,0
018020,577,0,577,0
018023,2083,68,2151,0
018024,5086,0,5086,1
018025,188,0,188,4
018027,1554,0,1554,4
018029,1242,0,1242,0
018033,1103,0,1103,1
018034,2,0,2,4
018036,729,0,729,1
018037,4966,125,5091,2
018042,315,0,315,0
018047,1058,0,1058,1
018048,3698,105,3803,3
018053,1004,0,1004,0
018061,2385,3,2388,2
018063,569,0,569,0
018064,452,0,452,1
018066,198,0,198,2
018068,1665,3520,5185,0
018074,297,0,297,0
018081,1166,0,1166,4
018083,1747,0,1747,1
018084,1555,0,1555,0
018085,902,0,902,1
018086,1402,0,1402,0
018087,667,0,667,2
018089,635,0,635,5
018092,680,0,680,0
018094,1135,0,1135,2
018097,287,0,287,1
018098,296,0,296,4
018102,155,0,155,44
018105,161,20,181,0
018106,915,0,915,0
018107,1335,0,1335,30
018108,256,0,256,1
018110,20394,0,20394,29
018114,20,0,20,2
018115,1215,0,1215,1
018116,1,0,1,1
018117,767,0,767,3
018118,1095,0,1095,0
018119,370,0,370,0
018120,756,0,756,3
018121,1814,0,1814,1
018122,3518,0,3518,4
018123,5065,51,5116,4
018126,253,0,253,0
018131,704,0,704,1
018133,339,0,339,1
018141,740,0,740,0
018147,384,0,384,2
018150,2321,0,2321,1
